"","removed_bottom_quantile","protectedareas_overlap","privatelands_overlap","freshwater_overlap","hfp_low_overlap","hfp_med_overlap","hfp_high_overlap"
"1",0,0.338820048085815,0.57148141298317,0.467542075087849,0.0303310523395598,0.619197336785648,0.2851858701683
"2",0.1,0.373946989932196,0.590507499486337,0.487774809944524,0.028970618450791,0.608588452845696,0.297719334292172
"3",0.2,0.37286176606565,0.605409153952843,0.502080443828017,0.0161812297734628,0.603559870550162,0.312066574202497
"4",0.3,0.364597093791281,0.620343461030383,0.512285336856011,0.0158520475561427,0.592602377807133,0.318097754293263
"5",0.4,0.387981510015408,0.629892141756549,0.522958397534669,0.0144838212634823,0.602465331278891,0.307550077041602
"6",0.5,0.40310650887574,0.642751479289941,0.532544378698225,0.00961538461538462,0.61353550295858,0.29844674556213
"7",0.6,0.420711974110032,0.656495607951919,0.549699491447064,0.00647249190938511,0.60748959778086,0.29079981507166
"8",0.7,0.428835489833641,0.659889094269871,0.571164510166359,0.00369685767097967,0.5939617991374,0.286506469500924
"9",0.8,0.436229205175601,0.653419593345656,0.61460258780037,0.00184842883548983,0.551756007393715,0.304990757855823
"10",0.9,0.517560073937153,0.619223659889094,0.652495378927911,0.00184842883548983,0.532347504621072,0.360443622920518
"11",1,NA,NA,NA,NA,NA,NA
