"","sei_habitat","filepath","weights"
"1","RI_ff","RI_ff.tif",1
"2","RI_gu","RI_gu.tif",1
"3","FW_la","FW_la.tif",1
"4","FW_pd","FW_pd.tif",1
"5","WN_sw","WN_sw.tif",1
"6","WN_bo_fn_sp","WN_bo_fn_sp.tif",1
"7","HB_cs","HB_cs.tif",1
"8","HB_vs","HB_vs.tif",1
"9","SV_ro","SV_ro.tif",1
"10","WD_co","WD_co.tif",1
"11","WD_mx","WD_mx.tif",1
"12","YF_co","YF_co.tif",1
"13","YF_mx","YF_mx.tif",1
"14","MF","MF.tif",1
"15","OF","OF.tif",1
"16","IT_mf","IT_mf.tif",1
"17","IT_el","IT_el.tif",1
"18","IT_bs","IT_bs.tif",1
